datetime,.pred,oxygen
2020-09-25,4.616106209410258,4.621069444444444
2020-09-26,4.709434004077114,4.277694444444444
2020-09-27,4.830923148194038,3.7478541666666665
2020-09-28,4.912321701664075,4.261479166666667
2020-09-29,5.366129910309511,5.1073055555555555
2020-09-30,5.1270580698699915,4.796569444444445
2020-10-01,5.427115610504607,5.080020833333333
2020-10-02,6.10904164984008,5.353604166666667
2020-10-03,5.45123882213089,5.054618055555555
2020-10-04,5.941841002851388,5.095833333333333
2020-10-05,5.496188308746739,4.910270833333334
2020-10-06,4.866288560802834,4.233376344086022
2021-04-26,8.622287468973601,9.675121951219513
2021-04-27,7.923673563803525,8.63971523668639
2021-04-28,7.80977056749129,8.730031701303275
2021-04-29,8.377439937031816,9.373347222222222
2021-04-30,8.441912784152201,9.741572916666666
2021-05-01,8.532781438414007,9.69714236111111
2021-05-02,8.45408186254447,9.335111111111113
2021-05-03,8.280225689557978,9.402440972222225
2021-05-04,8.42814082150358,9.43657638888889
2021-05-05,8.578291332253936,9.608795138888889
2021-05-06,8.974170203867022,9.80109722222222
2021-05-07,8.201199588000739,9.39413888888889
2021-05-08,8.176644551642173,9.602791666666668
2021-05-09,8.332598049454152,8.960829861111112
2021-05-10,8.505660913005483,9.930631944444444
2021-05-11,8.422690058359567,9.832440972222225
2021-05-12,8.755104521987628,9.705795138888888
2021-05-13,8.419396535269355,9.164949372215473
2021-05-14,7.158888713823788,8.065010416666667
2021-05-15,7.624743996766218,7.909298611111111
2021-05-16,7.3446322587810045,7.478039215686274
2021-06-03,8.460020075154638,9.008017857142857
2021-06-04,7.744777187364678,8.718076388888889
2021-06-05,7.89208431465759,8.5009375
2021-06-06,8.044561308751739,8.473472222222222
2021-06-07,7.85470196567206,8.358697916666667
2021-06-08,7.766747300487941,8.305447916666667
2021-06-09,7.4280968308482365,8.226717153927439
2021-06-10,7.484851838709864,8.109447183098592
2021-06-11,7.739305536255058,7.900333333333333
2021-06-12,7.389663294385287,8.029555555555556
2021-06-13,7.354729494428849,8.059076388888888
2021-06-14,7.167480391700756,8.061798611111112
2021-06-15,7.723405701743846,8.033690972222223
2021-06-16,7.498275243555328,7.684602510460251
2021-06-17,7.3669433016637695,7.539576388888888
2021-06-18,7.0885549640825705,7.372232638888889
2021-06-19,6.797013895585894,7.265413194444444
2021-06-20,7.09452604786397,7.1855520833333335
2021-06-21,6.529210173106051,7.122614583333333
2021-06-22,7.428354342066643,7.40627231361568
2021-06-23,7.115460180056314,7.197871527777778
2021-06-24,6.689533037896691,6.381552083333333
2021-06-25,6.220219910406301,6.560576388888889
2021-06-26,7.178813955555652,6.778833333333333
2021-06-27,6.224627459302824,6.991829861111111
2021-06-28,6.034851453176436,6.865795138888889
2021-06-29,6.835330320719757,6.6301909722222225
2021-06-30,6.982905989378552,6.755298611111111
2021-07-01,6.959841614042959,6.680897435897436
2021-07-02,6.636845998904179,6.467569296375267
2021-07-03,6.142477498314092,6.204420138888889
2021-07-04,5.93303619599048,5.801131944444444
2021-07-05,6.428122100157984,5.86609375
2021-07-06,6.393532423417764,5.714259902710215
2021-07-07,5.655630676836236,5.555298611111111
2021-07-08,6.4542936054534135,5.794350694444445
2021-07-09,6.054491792571287,5.48559375
2021-07-10,5.5388613748977775,5.38325
2021-07-11,5.729374251212835,5.389743055555556
2021-07-12,6.320614540693907,6.1080902777777775
2021-07-13,5.639419092837944,5.69559375
2021-07-14,5.65935515066758,5.4574444444444445
2021-07-15,6.710052717595859,6.8066354166666665
2021-07-16,6.916094780195886,6.7305173611111115
2021-07-17,6.782042995208653,6.216552083333333
2021-07-18,6.323982026491986,5.985246527777778
2021-07-19,6.117923333152639,6.145954861111111
2021-07-20,5.693290679503177,6.080534722222223
2021-07-21,5.820338126103158,6.147138888888889
2021-07-22,6.113461713742495,5.524541666666667
2021-07-23,5.714257530558066,5.262708333333333
2021-07-24,5.2886606393542746,5.091986111111111
2021-07-25,5.504898629595913,4.841958333333333
2021-07-26,5.211912809786415,5.045927083333333
2021-07-27,5.8126031717891005,5.033618055555555
2021-07-28,5.339844683097321,4.9023159722222225
2021-07-29,5.03784281890986,4.8593368055555555
2021-07-30,5.104963699428672,4.851395833333333
2021-07-31,5.217134887488925,4.915180555555556
2021-08-01,5.683956462274097,5.0167546907574705
2021-08-02,5.579358233229664,5.363569444444445
2021-08-03,5.503606951755289,5.45021875
2021-08-04,5.171187055953649,5.33484375
2021-08-05,4.881766663638355,5.066909722222222
2021-08-06,5.65510445636701,5.1348368055555556
2021-08-07,5.5137476115098,5.358002084781098
2021-08-08,5.398241229914065,5.384784722222222
2021-08-09,5.271755580023343,4.857996527777778
2021-08-10,4.982391644285934,4.772449617790132
2021-08-11,5.2527355418470085,5.004652777777777
