"datetime","site_id","air_temperature"
2020-09-25,"ABBY",11.4600728516938
2020-09-26,"ABBY",10.8867650760118
2020-09-27,"ABBY",12.3642695191086
2020-09-28,"ABBY",16.1151368089902
2020-09-29,"ABBY",19.2638626262706
2020-09-30,"ABBY",19.6580182311356
2020-10-01,"ABBY",18.6903458215858
2020-10-02,"ABBY",18.6986835192609
2020-10-03,"ABBY",16.7488741064585
2020-10-04,"ABBY",13.8460839548419
2020-10-05,"ABBY",13.0686682998494
2020-10-06,"ABBY",16.0947839224211
2020-10-07,"ABBY",16.2224789855301
2020-10-08,"ABBY",13.6414612144553
2020-10-09,"ABBY",13.4548737474668
2020-10-10,"ABBY",12.4798311377085
2020-10-11,"ABBY",8.759432901362
2020-10-12,"ABBY",11.1746552334037
2020-10-13,"ABBY",10.2281614488172
2020-10-14,"ABBY",8.96207368091876
2020-10-15,"ABBY",8.26822319440947
2020-10-16,"ABBY",9.11082246841926
2020-10-17,"ABBY",10.7304870605469
2020-10-18,"ABBY",10.2727070223901
2020-10-19,"ABBY",10.7933016295075
2020-10-20,"ABBY",8.62416504890695
2020-10-21,"ABBY",7.21776176370605
2020-10-22,"ABBY",5.0282737731934
2020-10-23,"ABBY",4.01839054887017
2020-10-24,"ABBY",5.58938542847994
2020-10-25,"ABBY",1.05701558923215
2020-10-26,"ABBY",2.16752650763402
2020-10-27,"ABBY",4.39432252453224
2020-10-28,"ABBY",8.34895162274768
2020-10-29,"ABBY",10.2639118481708
2020-10-30,"ABBY",8.61022983674087
2020-10-31,"ABBY",6.24627404161686
2020-11-01,"ABBY",8.88759372670165
2020-11-02,"ABBY",10.7477208373368
2020-11-03,"ABBY",9.55536640946588
2020-11-04,"ABBY",12.2511696928291
2020-11-05,"ABBY",11.6078858078167
2020-11-06,"ABBY",7.1148632582798
2020-11-07,"ABBY",2.27848743725855
2020-11-08,"ABBY",0.951536502633076
2020-11-09,"ABBY",0.385246047153316
2020-11-10,"ABBY",2.57169093470424
2020-11-11,"ABBY",3.08406987344068
2020-11-12,"ABBY",2.8461897409091
2020-11-13,"ABBY",5.0311227777953
2020-11-14,"ABBY",2.8922711608231
2020-11-15,"ABBY",5.6002547725555
2020-11-16,"ABBY",6.13480715187654
2020-11-17,"ABBY",8.52036906416703
2020-11-18,"ABBY",6.07967907485147
2020-11-19,"ABBY",4.52398552022959
2020-11-20,"ABBY",4.37467117309575
